,브랜드,언급량,제품수,총판매량,제품당판매량
217,B002-00265,1197.9379399999973,1,2,2.0
218,B002-00266,536.4206299999995,153,883379,5773.718954248366
219,B002-00267,1244.442159999998,2,2879,1439.5
220,B002-00268,4.0758199999999984,2,370,185.0
221,B002-00269,27.878580000000007,1,81,81.0
222,B002-00270,1.9145508509999998,1,312,312.0
223,B002-00271,165.66209778900006,8,84421,10552.625
224,B002-00272,151.4031039060001,4,7411,1852.75
225,B002-00273,171.3916376099998,1,956,956.0
226,B002-00274,16.129120000000036,1,28068,28068.0
227,B002-00275,86.27546999999964,1,1178,1178.0
228,B002-00276,2677.035750000001,1,420,420.0
229,B002-00277,49.91104999999999,1,82,82.0
230,B002-00279,506.43808000000047,1,431,431.0
231,B002-00280,393.62980999999945,1,678,678.0
232,B002-00281,1299.4175799999966,1,298,298.0
233,B002-00282,17110.757914859983,1,29660,29660.0
234,B002-00283,1.1748134239999999,2,16840,8420.0
235,B002-00284,146.29726925699984,2,1523,761.5
236,B002-00285,458.09146631899966,2,8008,4004.0
237,B002-00286,20.72729000000004,2,507,253.5
238,B002-00287,51.40550999999997,59,395517,6703.677966101695
239,B002-00288,293.9054499999993,5,1920,384.0
240,B002-00289,1009.1361300000008,4,6475,1618.75
241,B002-00290,165.25744999999884,1,821,821.0
242,B002-00292,158.5559199999989,1,874,874.0
243,B002-00293,93.58628999999954,7,144887,20698.14285714286
244,B002-00294,43.166259999999895,19,106704,5616.0
245,B002-00295,107.06180999999937,2,4035,2017.5
246,B002-00296,0.0,1,336,336.0
247,B002-00297,80.38638999999964,4,200,50.0
248,B002-00298,33.69470000000004,1,830,830.0
249,B002-00301,82.43168999999965,6,9860,1643.3333333333333
250,B002-00302,0.0,2,4283,2141.5
251,B002-00303,3.452089999999998,8,56107,7013.375
252,B002-00304,1510.1948799999996,1,220,220.0
253,B002-00305,102.63762999999942,8,13113,1639.125
254,B002-00306,0.08687726,1,10,10.0
255,B002-00307,864.7143808349996,1,12,12.0
256,B002-00308,394.9106707439999,2,12044,6022.0
257,B002-00309,2177.9787436670017,1,72,72.0
258,B002-00310,331.4621945969998,1,192,192.0
259,B002-00311,195.7624331239999,1,1314,1314.0
260,B002-00312,2179.9164811880005,2,5337,2668.5
261,B002-00313,23490.90918132002,38,63271,1665.0263157894738
262,B002-00315,167.287740453,3,31520,10506.666666666666
263,B002-00317,157.9752974069998,1,63,63.0
264,B002-00318,3784.7890837709983,3,17844,5948.0
265,B002-00320,932.2556435010002,3,2405,801.6666666666666
266,B002-00321,999.2347327610004,2,2979,1489.5
267,B002-00322,195.83473999999865,2,1881,940.5
268,B002-00323,2591.062529999999,4,2985,746.25
269,B002-00324,4.684959999999999,15,6029,401.93333333333334
270,B002-00325,192.7885799999987,2,19392,9696.0
271,B002-00326,10459.803339999995,2,250,125.0
272,B002-00328,475.7158399999992,5,4799,959.8
273,B002-00329,69.04337999999974,3,3528,1176.0
274,B002-00330,4022.5919788369984,5,16197,3239.4
275,B002-00331,11.240952630999997,1,5,5.0
276,B002-00332,6772.222286405996,3,4509,1503.0
277,B002-00334,120.07783192699976,7,21435,3062.1428571428573
278,B002-00335,6344.086306284995,1,10,10.0
279,B002-00336,507.649466946,1,2082,2082.0
280,B002-00337,354.2615733450002,2,4060,2030.0
281,B002-00338,3.640183454,1,2401,2401.0
282,B002-00339,528.1274058499995,2,152,76.0
283,B002-00342,325.9332699999992,1,1821,1821.0
284,B002-00343,62.22616999999984,1,3652,3652.0
285,B002-00345,42.61524000000003,3,972,324.0
286,B002-00346,21.770664830999976,1,7190,7190.0
287,B002-00347,25.337086728999964,1,48,48.0
288,B002-00348,475.2251328860003,5,30289,6057.8
289,B002-00349,154.2158117450002,1,22,22.0
290,B002-00351,174.04765999999884,1,3,3.0
291,B002-00352,68.81163999999988,1,2,2.0
292,B002-00354,19621.076965329965,2,109,54.5
293,B002-00355,0.913783187,3,257,85.66666666666667
294,B002-00356,54.39246564599986,6,37192,6198.666666666667
295,B002-00357,132.99680045300008,40,70145,1753.625
296,B002-00359,2612.730258849,2,2483,1241.5
297,B002-00360,0.0,1,599,599.0
298,B002-00361,170.59123809999994,1,16,16.0
299,B002-00362,2.204719999999999,9,11672,1296.888888888889
300,B002-00363,389.71338000000173,1,66,66.0
301,B002-00364,89.42316999999954,1,388,388.0
302,B002-00365,350.92620999999957,1,37,37.0
303,B002-00366,0.0,1,382,382.0
304,B002-00367,532.1266593729998,1,10,10.0
305,B002-00368,0.0,6,45553,7592.166666666667
306,B002-00369,28088.564951599983,1,965,965.0
307,B002-00371,70.63918999999983,1,100,100.0
308,B002-00372,3.9161999999999972,3,19827,6609.0
309,B002-00373,63.067219999999914,1,23740,23740.0
310,B002-00374,19.160650000000018,3,52395,17465.0
311,B002-00375,0.7107199999999999,1,51,51.0
312,B002-00376,1.3489,1,31,31.0
313,B002-00378,437.0149080790001,2,1736,868.0
314,B002-00380,28.095034370000054,1,13,13.0
315,B002-00381,99.34348537600006,36,42985,1194.0277777777778
316,B002-00382,56.13415999999999,1,12154,12154.0
317,B002-00383,128.06581999999923,2,29558,14779.0
318,B002-00384,720.08767,1,18,18.0
319,B002-00385,1705.81438,1,51,51.0
320,B002-00386,972.4389869549995,3,3650,1216.6666666666667
321,B002-00387,146.87537265399996,5,45206,9041.2
322,B002-00388,7737.765612517001,2,2547,1273.5
323,B002-00389,61.10356751800001,1,84,84.0
324,B002-00390,160.12245999999894,1,86,86.0
325,B002-00391,2.0016299999999996,1,1,1.0
326,B002-00392,14146.907959999993,2,131,65.5
327,B002-00393,195.39952999999866,1,34360,34360.0
328,B002-00395,1530.0238299999976,8,53225,6653.125
329,B002-00396,320.4503599999995,1,2357,2357.0
330,B002-00397,18.362850000000044,3,83,27.666666666666668
331,B002-00398,6201.663230395005,1,16156,16156.0
332,B002-00399,1819.8004915060008,1,6975,6975.0
333,B002-00401,399.92520297500016,1,137,137.0
334,B002-00402,546.70493,2,1532,766.0
335,B002-00403,399.17080999999996,2,6098,3049.0
336,B002-00404,295.7331599999994,2,13453,6726.5
337,B002-00406,198.2716299999987,1,261,261.0
338,B002-00408,16.506260000000037,6,12453,2075.5
339,B002-00409,71.58240999999968,1,13704,13704.0
340,B002-00410,22.30829000000004,1,5127,5127.0
341,B002-00411,94.87723999999935,5,11774,2354.8
342,B002-00412,4174.32327,5,5229,1045.8
343,B002-00413,0.8267700000000001,1,41,41.0
344,B002-00415,2173.3562819509993,1,297,297.0
345,B002-00416,2732.5830739780004,26,228968,8806.461538461539
346,B002-00417,868.2761181990002,1,1955,1955.0
347,B002-00419,33.68020000000003,1,2,2.0
348,B002-00420,0.9137900000000001,1,9956,9956.0
349,B002-00421,1712.6609999999991,1,60,60.0
350,B002-00422,1.1313130669999998,1,369,369.0
351,B002-00423,1529.5291194809997,2,2054,1027.0
352,B002-00424,594.3886382749998,3,5524,1841.3333333333333
353,B002-00425,33.72321506000003,1,873,873.0
354,B002-00426,243.93312639199988,3,2709,903.0
355,B002-00427,6853.157498518005,1,9404,9404.0
356,B002-00428,196.06528002099995,3,4139,1379.6666666666667
357,B002-00429,510.29665137399985,5,8914,1782.8
358,B002-00430,17953.807232204992,10,9381,938.1
359,B002-00431,8218.05363984,2,40976,20488.0
360,B002-00432,95.51458018999985,3,2819,939.6666666666666
361,B002-00433,0.144492994,24,72590,3024.5833333333335
362,B002-00434,128.29751999999908,136,416713,3064.0661764705883
363,B002-00435,155.4806899999991,2,15946,7973.0
364,B002-00436,549.4175399999995,2,4103,2051.5
365,B002-00437,125.36759999999919,1,442,442.0
366,B002-00438,745.2833899999999,30,188822,6294.066666666667
367,B002-00439,4612.269290000002,35,37112,1060.3428571428572
368,B002-00440,6.947640000000002,15,177746,11849.733333333334
369,B002-00441,788.8865900000003,17,31481,1851.8235294117646
370,B002-00442,6974.391407752006,3,1027,342.3333333333333
371,B002-00443,45.429703028999995,3,615,205.0
372,B002-00444,27.501306160000013,1,530,530.0
373,B002-00446,0.11604,1,2,2.0
374,B002-00447,152.579619999999,1,673,673.0
375,B002-00448,1.1893600000000002,1,1604,1604.0
376,B002-00449,506.67017000000004,1,784,784.0
377,B002-00451,552.5062482829995,2,3046,1523.0
378,B002-00452,392.66513597600033,6,44984,7497.333333333333
379,B002-00453,93785.01062322993,2,181,90.5
380,B002-00455,2755.7709199999995,3,9811,3270.3333333333335
381,B002-00456,72.16214999999973,14,116382,8313.0
382,B002-00457,2102.6956900000005,1,59,59.0
383,B002-00458,189.56846999999868,1,17811,17811.0
384,B002-00459,113.40049999999921,2,47440,23720.0
385,B002-00460,0.0,2,4069,2034.5
386,B002-00461,1563.7487499999984,2,1787,893.5
387,B002-00462,297.691319999999,1,64,64.0
388,B002-00463,313.48763999999886,1,14632,14632.0
389,B002-00464,3194.70317,4,12442,3110.5
390,B002-00466,971.5381099999993,4,6701,1675.25
391,B002-00467,1813.0815900000018,1,660,660.0
392,B002-00468,811.6890500000002,1,972,972.0
393,B002-00469,3185.477899999998,2,13102,6551.0
394,B002-00470,1226.0493299999998,1,119,119.0
395,B002-00471,178.8053399999989,1,1707,1707.0
396,B002-00474,284.82526927199996,1,97,97.0
397,B002-00475,25431.74189992002,1,231,231.0
398,B002-00476,49396.20629645997,1,5871,5871.0
399,B002-00477,220.65210399299986,4,8879,2219.75
400,B002-00478,936.5512099999999,1,3396,3396.0
401,B002-00479,6367.563709999996,1,577,577.0
402,B002-00480,78.23973999999967,1,256,256.0
403,B002-00481,3446.9080199999994,1,1328,1328.0
404,B002-00482,9.529580000000008,2,2571,1285.5
405,B002-00485,211.87763999999854,29,156265,5388.448275862069
406,B002-00486,76.38289999999978,2,12339,6169.5
407,B002-00487,7141.903739999991,2,8169,4084.5
408,B002-00488,77.10820999999972,3,75636,25212.0
409,B002-00490,112.03813999999981,1,27,27.0
410,B002-00491,158.64281999999884,2,1760,880.0
411,B002-00493,37.46563000000001,19,38101,2005.3157894736842
412,B002-00495,2557.0899632800056,2,8829,4414.5
413,B002-00496,336.0615530640001,1,9616,9616.0
414,B002-00497,386.81838197599996,1,176763,176763.0
415,B002-00498,798.5761200000002,2,1434,717.0
416,B002-00499,61.254159999999764,1,30337,30337.0
417,B002-00500,103.8708099999995,30,84032,2801.0666666666666
418,B002-00501,112.22565999999928,1,2860,2860.0
419,B002-00502,306.43810999999897,1,982,982.0
420,B002-00503,1.29093,13,18103,1392.5384615384614
421,B002-00504,8.731710000000003,1,0,0.0
422,B002-00505,31.925190000000022,1,14108,14108.0
423,B002-00506,10807.481123289992,2,5152,2576.0
424,B002-00507,97.22278441699989,1,225,225.0
425,B002-00508,0.24648276200000002,12,4947,412.25
426,B002-00509,423.7382725560005,1,8,8.0
427,B002-00511,154.17775025299994,5,26863,5372.6
428,B002-00512,700.673834798,1,1153,1153.0
429,B002-00515,598.7920469089986,26,290883,11187.807692307691
430,B002-00518,925.9947455569983,1,153,153.0
431,B002-00519,691.8277463960001,1,216,216.0
432,B002-00520,4845.336136720996,2,3282,1641.0
433,B002-00521,326.1939734170002,2,9,4.5
434,B002-00523,7.265459120000007,2,400,200.0
435,B002-00526,1539.466860000001,1,35,35.0
436,B002-00527,87.74079999999954,48,162598,3387.4583333333335
437,B002-00528,473.45307999999955,2,1376,688.0
438,B002-00529,500.3603700000006,2,89,44.5
439,B002-00532,64.00867663899996,1,1374,1374.0
440,B002-00533,0.0,2,51611,25805.5
441,B002-00534,258.5123199999986,6,2182,363.6666666666667
442,B002-00536,41.13542000000002,1,669,669.0
443,B002-00537,126.65853999999915,2,908,454.0
444,B002-00538,0.0,2,849,424.5
445,B002-00540,6258.772132131004,1,7147,7147.0
446,B002-00541,219.85613300300005,1,80,80.0
447,B002-00542,753.3919800000004,5,16921,3384.2
448,B002-00544,0.30459,4,41090,10272.5
449,B002-00545,0.08703,1,1063,1063.0
450,B002-00546,56.92645528900002,1,64,64.0
451,B002-00547,92.39389548900003,6,10762,1793.6666666666667
452,B002-00550,0.44963,1,4272,4272.0
453,B002-00552,198.11196999999845,5,4447,889.4
454,B002-00553,89.39475999999962,1,1596,1596.0
455,B002-00554,222.65515999999852,1,4538,4538.0
456,B002-00555,801.0710199999999,1,448,448.0
457,B002-00556,208.3964299999991,5,9317,1863.4
458,B002-00558,46.81703216799991,1,8,8.0
459,B002-00559,37.11425727199995,5,846,169.2
460,B002-00561,2268.0872446630005,1,350,350.0
461,B002-00562,12.981610000000016,1,407,407.0
462,B002-00563,2.1176699999999995,5,10010,2002.0
463,B002-00564,3808.6573399999966,1,16,16.0
464,B002-00565,182.72188999999875,12,13390,1115.8333333333333
465,B002-00566,0.21756,3,6930,2310.0
466,B002-00567,0.0,16,39007,2437.9375
467,B002-00569,74.56973999999981,1,3,3.0
468,B002-00570,1131.401709999999,5,6984,1396.8
469,B002-00571,0.17404999999999998,8,665,83.125
470,B002-00572,394.55830000000043,2,313,156.5
471,B002-00574,2135.9408220360006,1,6563,6563.0
472,B002-00575,6664.009899216002,1,6897,6897.0
473,B002-00576,729.1574639129996,5,174115,34823.0
474,B002-00577,89.48152948300016,1,40,40.0
475,B002-00578,6.437108411,2,411,205.5
476,B002-00579,252034.89657370004,9,22716,2524.0
477,B002-00581,32.796728661,2,51,25.5
478,B002-00582,151.20167999999893,6,2528,421.3333333333333
479,B002-00583,1063.2556299999985,6,15418,2569.6666666666665
480,B002-00584,1079.2405599999997,14,24635,1759.642857142857
481,B002-00585,62.53043999999985,1,4298,4298.0
482,B002-00586,40.787489999999934,1,710,710.0
483,B002-00587,0.0,1,165,165.0
484,B002-00588,0.0,1,156,156.0
485,B002-00589,34.274640000000026,1,4580,4580.0
486,B002-00591,30.37338000000002,1,5,5.0
487,B002-00592,3.713129999999998,3,98619,32873.0
488,B002-00593,5362.646440000001,2,61801,30900.5
489,B002-00594,5956.989349999999,1,64,64.0
490,B002-00595,1.9000799999999995,1,3274,3274.0
491,B002-00596,24.585400000000053,2,357,178.5
492,B002-00597,1.2618999999999996,5,86350,17270.0
493,B002-00599,1513.8808134060007,1,4224,4224.0
494,B002-00600,1742.5292219190005,2,4100,2050.0
495,B002-00602,2.6861178060000004,3,1083,361.0
496,B002-00603,3861.485185055002,1,363,363.0
497,B002-00605,75.45647449000016,1,4,4.0
498,B002-00606,14.069430000000033,6,45811,7635.166666666667
499,B002-00607,248.19917999999862,4,26653,6663.25
500,B002-00609,0.0,5,1112,222.4
501,B002-00610,356.2930800000001,2,15306,7653.0
502,B002-00611,0.9427700000000002,3,7288,2429.3333333333335
503,B002-00612,22.119980000000037,9,6705,745.0
504,B002-00613,166.44680999999898,3,23403,7801.0
505,B002-00615,445.80632000000037,1,253,253.0
506,B002-00616,1665.6779900000006,3,3341,1113.6666666666667
507,B002-00617,19.914950000000044,1,488,488.0
508,B002-00622,881.1559318750005,5,4561,912.2
509,B002-00623,12.923155024000009,1,1905,1905.0
510,B002-00624,75.7726691310001,1,4190,4190.0
511,B002-00626,321.1305305960001,1,2,2.0
512,B002-00627,9.195512777,1,220,220.0
513,B002-00628,39390.83582907999,16,157800,9862.5
514,B002-00629,352.79547465199994,3,326,108.66666666666667
515,B002-00630,0.0,1,261,261.0
516,B002-00631,878.5877799999994,21,8619,410.42857142857144
517,B002-00632,1002.6522599999987,3,11825,3941.6666666666665
518,B002-00633,233.7662499999986,7,11069,1581.2857142857142
519,B002-00634,29.516990000000074,2,429,214.5
520,B002-00635,27.878280000000036,1,208,208.0
521,B002-00637,4.931539999999998,2,2178,1089.0
522,B002-00638,137.23295999999922,4,3063,765.75
523,B002-00639,169.435009999999,1,382,382.0
524,B002-00640,15095.327039999996,2,3372,1686.0
525,B002-00641,10.878460000000015,4,22772,5693.0
526,B002-00642,12827.064759999996,6,51554,8592.333333333334
527,B002-00643,51.07161999999993,2,865,432.5
528,B002-00644,1697.4593000000004,53,981263,18514.396226415094
529,B002-00645,287.33458999999925,1,387,387.0
530,B002-00646,1.2183799999999998,3,27263,9087.666666666666
531,B002-00648,2.5817999999999985,1,2853,2853.0
532,B002-00649,1.1603699999999997,1,10159,10159.0
533,B002-00650,16477.095533039992,5,3892,778.4
534,B002-00651,1667.719951930998,16,14492,905.75
535,B002-00652,10788.644556412008,2,2862,1431.0
536,B002-00653,1834.8358422459999,1,65,65.0
537,B002-00655,1470.0947544370006,5,1156,231.2
538,B002-00656,10887.059247050007,1,40800,40800.0
539,B002-00657,14.35652941599999,2,1414,707.0
540,B002-00658,146.79202999999913,1,2,2.0
541,B002-00659,0.07252,1,108,108.0
542,B002-00660,27.66046000000004,1,12505,12505.0
543,B002-00661,119.42032999999938,2,18723,9361.5
544,B002-00662,0.101534997,24,213421,8892.541666666666
545,B002-00663,4662.669445982999,2,212,106.0
546,B002-00664,11233.159245660001,3,4038,1346.0
